date,amount,description
2025-01-02,-1100.00,Groceries at Pyaterochka
2025-01-04,-420.50,Coffee at Magnit cafe
2025-01-05,-3500.00,Winter boots purchase
2025-01-06,-380.00,Metro fare, Troika card
2025-01-08,-980.00,Pharmacy: cold medicine
2025-01-10,85000.00,Main salary January payroll
2025-01-12,-2200.00,Dinner at Italian restaurant
2025-01-14,-1500.00,M.Video: headphones
2025-01-15,-800.00,Pet food at Zooservice
2025-01-16,-1200.00,Gym monthly membership
2025-01-18,-3800.00,Online course: Python development
2025-01-20,-1100.00,Car wash at Spark Auto
2025-01-22,-4200.00,Theater tickets: "Hamlet"
2025-01-24,-2800.00,IKEA: kitchen shelves
2025-01-25,-1600.00,Manicure and pedicure
2025-01-26,-950.00,Mobile phone bill MTS
2025-01-28,-2500.00,Toys for child at Detsky Mir
2025-01-30,-1800.00,Home cleaning supplies
2025-02-01,-1150.00,Spar supermarket weekly shop
2025-02-03,-450.00,Coffee shop daily
2025-02-05,-3200.00,Lukoil gas station refuel
2025-02-06,-390.00,Bus and metro combined fare
2025-02-08,-1050.00,Pharmacy: vitamins
2025-02-10,18000.00,Freelance web design project
2025-02-12,-1900.00,Business lunch cafe
2025-02-14,-6000.00,Jewelry gift: gold earrings
2025-02-16,-1300.00,Veterinarian check-up
2025-02-18,-2900.00,Sportmaster: running shoes
2025-02-20,-4100.00,Hotel booking: weekend getaway
2025-02-22,-1600.00,Car maintenance oil change
2025-02-24,-3700.00,Cinema: 3D tickets family
2025-02-25,78000.00,Main salary February
2025-02-26,-2100.00,Hair salon: cut and color
2025-02-28,-980.00,Home internet bill
2025-03-02,-1200.00,Groceries Lenta
2025-03-04,-470.00,Coffee break downtown
2025-03-06,-3300.00,Electronics: phone case and charger
2025-03-07,-410.00,Public transport card top-up
2025-03-09,-1100.00,Pharmacy: allergy meds
2025-03-11,-2000.00,Restaurant: birthday dinner
2025-03-13,-1400.00,Pet grooming service
2025-03-15,22000.00,Annual performance bonus
2025-03-17,-4300.00,Weekend trip to countryside
2025-03-19,-1700.00,Car insurance OSAGO
2025-03-21,-3600.00,Bowling night with friends
2025-03-23,-2400.00,Home: new lamp and decor
2025-03-25,-1900.00,Beauty salon: facial
2025-03-27,-1020.00,Utility bills: electricity and water
2025-03-29,-3000.00,Children: English tutoring
2025-04-01,-1250.00,Pyaterochka monthly groceries
2025-04-03,-490.00,Daily coffee ritual
2025-04-05,-3400.00,Gazpromneft refuel
2025-04-06,-420.00,Subway monthly pass
2025-04-08,-1150.00,Pharmacy: first aid kit
2025-04-10,92000.00,Main salary April
2025-04-12,-2100.00,Restaurant: sushi night
2025-04-14,-5800.00,Summer clothes shopping Zara
2025-04-16,-1350.00,Pet supplies: cage and toys
2025-04-18,-3000.00,Fitness equipment: yoga mat and bands
2025-04-20,-4500.00,Vacation deposit: Turkey
2025-04-22,-1650.00,Car detailing service
2025-04-24,-3800.00,Concert: pop star live
2025-04-26,-2600.00,Home renovation: paint
2025-04-28,-2000.00,Spa day package
2025-04-30,-1050.00,Electricity bill
2025-05-02,-3200.00,Children: sports camp fee
2025-05-05,96000.00,Main salary May
2025-05-07,-1300.00,Groceries at Spar
2025-05-09,-510.00,Coffee shop meeting
2025-05-11,-7500.00,New smartphone iPhone
2025-05-12,-440.00,Public transport fare
2025-05-14,-1250.00,Pharmacy: prescription drugs
2025-05-16,-2200.00,Restaurant: celebration dinner
2025-05-18,-4600.00,Furniture: office chair delivery
2025-05-20,-1700.00,Car wash and vacuum
2025-05-22,-4000.00,Musical: "Cats" tickets
2025-05-24,-2700.00,Garden: seeds and tools
2025-05-26,-2100.00,Beauty: eyelash extension
2025-05-28,-1080.00,Water and gas bills
2025-05-30,-3400.00,Children: summer camp full
2025-05-31,20000.00,Investment dividend return
2025-06-02,-1350.00,Weekly groceries Pyaterochka
2025-06-04,-530.00,Coffee and pastry
2025-06-06,-3600.00,Gas station: full tank
2025-06-07,-460.00,Metro card refill
2025-06-09,-1300.00,Pharmacy: supplements
2025-06-11,-2300.00,Restaurant: BBQ evening
2025-06-13,-1500.00,Pet: flea treatment
2025-06-15,88000.00,Main salary June
2025-06-17,-4800.00,Weekend trip: hiking gear
2025-06-19,-1800.00,Car insurance KASKO
2025-06-21,-3900.00,Cinema: premiere night
2025-06-23,-2800.00,Home: new curtains
2025-06-25,-2200.00,Beauty: massage therapy
2025-06-27,-1120.00,Internet and TV bill
2025-06-29,-3600.00,Children: art class enrollment
2025-07-01,-1400.00,Groceries monthly shop
2025-07-03,-550.00,Coffee with colleague
2025-07-05,-3800.00,M.Video: smart speaker
2025-07-06,-480.00,Public transport pass
2025-07-08,-1400.00,Pharmacy: vitamins D3
2025-07-10,-2400.00,Restaurant: family reunion
2025-07-12,-1600.00,Pet: annual vaccination
2025-07-15,90000.00,Main salary July
2025-07-17,-5000.00,Summer vacation: flight tickets
2025-07-19,-1900.00,Car: tire replacement
2025-07-21,-4100.00,Theater: ballet "Swan Lake"
2025-07-23,-3000.00,Home: air conditioner
2025-07-25,-2300.00,Beauty: spa facial
2025-07-27,-1150.00,Mobile bill + cloud storage
2025-07-29,-3800.00,Children: music lessons
2025-07-31,15000.00,Government support payment